ntrials;nreversals;npp_group;meanLR_g1;sdLR_g1;meanLR_g2;sdLR_g2;meanInverseTemperature_g1;sdInverseTemperature_g1;meanInverseTemperature_g2;sdInverseTemperature_g2;reward_probability;TypeIerror;nreps;full_speed;output_folder
80;1;20;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;30;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;40;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;50;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;60;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;70;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;80;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;90;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
80;1;100;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;20;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;30;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;40;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;50;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;60;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;70;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;80;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;90;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
240;5;100;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;20;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;30;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;40;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;50;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;60;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;70;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;80;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;90;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
400;9;100;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;20;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;30;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;40;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;50;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;60;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;70;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;80;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;90;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
560;13;100;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;20;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;30;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;40;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;50;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;60;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;70;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;80;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;90;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
720;17;100;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;20;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;30;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;40;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;50;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;60;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;70;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;80;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;90;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
880;21;100;0.69;0.1;0.71;0.1;1.5;0.5;1.5;0.5;0.8;0.05;;;/data/gent/442/vsc44254/COMPASS/Version2022_2023
